GRIN1,CALM1
GRIN1,CAMK2D
GRIN1,GRIN2A
GNG10,GNG13
GNG10,GNAI2
GNG10,GNAI1
GNG10,GNB1
GNG10,GNAI3
GNG10,GNB3
GNG10,GNB4
GNG10,GNG11
GNG10,GNB2
GNG10,GNA11
ITPR3,CALM2
ITPR3,TRPC1
ITPR3,PLCB4
ITPR3,PLCB3
ITPR3,PLCB1
ITPR3,PLCB2
ALOX5,PTGS1
ALOX5,PTGS2
ALOX5,PLA2G4A
PPP3R2,PPP3CC
PPP3R2,PPP3CB
PPP3R2,PPP3CA
CACNA1F,CACNA1C
CACNA1F,CACNA1D
GABBR1,KCNJ6
ARAF,BRAF
ARAF,MAP2K1
ARAF,HRAS
ARAF,NRAS
ARAF,KRAS
PRKACG,GRIN2A
PRKACG,GNB1
PRKACG,ADCY8
PRKACG,ADCY1
PRKACG,ADCY2
PIK3CD,PIK3R3
PIK3CD,JAK2
PIK3CD,AKT2
PIK3CD,GSK3B
PIK3CD,AKT1
PIK3CD,AKT3
PIK3CD,FYN
PIK3CD,NRAS
PIK3CD,HRAS
PIK3CD,PIK3R1
PIK3CD,SRC
PIK3CD,KRAS
MAOB,DDC
MAOB,COMT
GNB1,GNG4
GNB1,GNG8
GNB1,GNG3
GNB1,GNAO1
GNB1,GNG10
GNB1,GNGT2
GNB1,GNAQ
GNB1,MAPK11
GNB1,PIK3R5
GNB1,PLCB2
GNB1,KCNJ6
GNB1,KCNJ5
GNB1,MAPK14
GNB1,GNG12
GNB1,GNG11
GNB1,PRKACB
GNB1,GNAI1
GNB1,GNAS
GNB1,GNGT1
GNB1,GRK2
GNB1,PIK3CG
GNB1,PRKACG
GNB1,GNG7
GNB1,GNA11
GNB1,GNG13
GNB1,GNG5
GNB1,GNG2
GNB1,KCNJ3
GNB1,GNAI3
GNB1,GNAL
GNB1,GNAI2
HTR2A,GNAQ
HTR2A,GRM5
TH,DDC
TH,FOS
ITPR2,PLCB2
ITPR2,TRPC1
ITPR2,PLCB3
ITPR2,PLCB4
ITPR2,PRKACA
ITPR2,PLCB1
JAK2,PIK3CA
JAK2,RAF1
JAK2,SRC
